WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
dew point;6;n;3;punkt rosy;;
distress call;6;n;2;wezwanie pomocy;;
drag;6;n;3;opór czołowy;opór aerodynamiczny;
elevator;6;n;3;ster wysokości;ster poziomy;
empty weight;6;n;3;masa własna samolotu;;
engine intake;6;n;2;wlot powietrza;;
exact;6;adj;2;dokładny;;
fairing;6;n;3;owiewka;;
fan;6;n;2;wentylator;;
flap;6;n;3;klapa;;
fly-by-wire;6;n;3;elektroniczny system pilotowania ;;
frame;6;n;2;rama;;
freighter;6;n;2;samolot transportowy;;
fuel capacity;6;n;3;pojemność zbiorników paliwa;masa paliwa;
gas-turbine;6;adj;2;turbospalinowy;;
glider;6;n;2;szybowiec;;
grasslands;6;n;3;użytki zielone;;
height;6;n;1;wysokość;;
hill/ridge lift;6;n;3;noszenie zboczowe;;
holding area;6;n;3;strefa oczekiwania;;
horizontal;6;adj;2;poziomy;;
instrument panel;6;n;2;tablica przyrządów;;
jet engine;6;n;2;silnik odrzutowy;;
knot;6;n;2;węzeł;;
landing gear;6;n;3;podwozie samolotu;;
level;6;n;1;poziom;;
lift;6;n;3;siła nośna;noszenie;
memory;6;n;1;pamięć;;
misunderstanding;6;n;2;nieporozumienie;;
narrow;6;adj;1;wąski;;
nautical mile;6;n;2;mila morska;;
noise;6;n;1;hałas;;
non-powered;6;adj;2;bezsilnikowy;;
nozzle;6;n;3;dysza;;
order;6;n;2;kolejność;;
parking stand;6;n;3;stojanka;stanowisko postojowe;
people capacity;6;n;3;liczba miejsc w samolocie;;
possible;6;adj;1;możliwy;;
pressure;6;n;2;ciśnienie;;
range;6;n;2;zasięg;;
relevant;6;adj;2;odnośny, istotny, dotyczący;;
rotary-wing craft;6;n;3;wiropłat;;
rudder;6;n;3;ster kierunku;;
runway;6;n;3;droga startowa;pas startowy;
sideways;6;adv;2;na boki;;
spatial;6;adj;2;przestrzenny;;
spoiler;6;n;2;osłona;spoiler;
stabilizer;6;n;2;statecznik;stabilizator;
state-of-the-art;6;adj;3;supernowoczesny;;
swamp;6;n;2;bagno;;
tail;6;n;2;ogon;;
tail boom;6;n;3;belka ogonowa;;
takeoff;6;n;2;start samolotu;;
thermal;6;n;3;prąd termiczny;;
