WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
przestrzenny;6;adj;2;spatial;;
os³ona;6;n;2;spoiler;spoiler;
statecznik;6;n;2;stabilizer;stabilizator;
supernowoczesny;6;adj;3;state-of-the-art;;
bagno;6;n;2;swamp;;
ogon;6;n;2;tail;;
belka ogonowa;6;n;3;tail boom;;
start samolotu;6;n;2;takeoff;;
pr¹d termiczny;6;n;3;thermal;;
si³a ci¹gu;6;n;3;thrust;ci¹g;
podchodziæ;6;v;2;to approach;zbli¿aæ siê;
przybywaæ;6;v;1;to arrive;;
wiaæ;6;v;2;to blow;dmuchaæ;
odlatywaæ;6;v;2;to depart;odje¿d¿aæ;
zni¿aæ lot;6;v;2;to descend;opadaæ;
wtopiæ;6;v;3;to embed;wbudowaæ;
zyskaæ;6;v;2;to gain;;
zajmowaæ siê;6;v;2;to handle;;
mieœciæ w sobie;6;v;2;to house;;
wydawaæ;6;v;2;to issue;;
wystartowaæ;6;n;2;to launch;odpaliæ;
przekazaæ;6;v;2;to pass;;
przechodziæ ponad/obok;6;v;2;to pass over/by;;
pochyliæ samolot;6;v;3;to pitch;;
zapobiegaæ;6;v;2;to prevent;;
reagowaæ;6;v;2;to respond;;
przechyliæ samolot;6;v;3;to roll;;
chroniæ;6;v;2;to shield;;
wirowaæ;6;v;2;to spin ;obracaæ siê;
podtrzymywaæ;6;v;2;to support;;
zawiesiæ;6;v;2;to suspend;;
przejmowaæ;6;v;3;to take over;;
ko³owaæ;6;v;3;to taxi;;
przechyliæ œmig³owiec;6;v;2;to tip;przewa¿yæ ;
œledziæ;6;v;2;to track;;
krawêdŸ sp³ywu;6;n;3;trailing edge;;
szczotki na krawêdzi sp³ywu;6;n;3;trailing edge brushes;;
turbulentny;6;adj;2;turbulent;niespokojny;
do góry;6;adv;2;upwards;;
zmiennoœæ;6;n;3;variability;;
zmienna dysza wylotowa;6;n;3;variable exhaust nozzle;;
wie¿a kontroli lotów;6;n;2;visual control tower;;
ciê¿ar;6;n;1;weight;waga;
powierzchnia skrzyd³a;6;n;2;wing area;;
rozpiêtoœæ skrzyde³;6;n;2;wingspan;;
stanowisko operacyjne;6;n;2;work station;;
dopuszczalny;7;adj;2;acceptable;;
klej;7;n;2;adhesive;przylepny;
klimatyzacja;7;n;2;air conditioning;;
przewiewny;7;adj;1;airy;;
telewizja przemys³owa;7;n;2;CCTV;;
pokrycie;7;n;3;cladding;okrycie;
kondensacja;7;n;1;condensation;skroplenie;
zamienialny;7;adj;2;convertible;;
przypora;7;n;3;counterfort;;
pr¹d;7;n;2;current;;
pogorszenie;7;n;3;deterioration;;
niepe³nosprawny;7;adj;2;disabled;;
odporny na kataklizmy;7;adj;2;disaster-proof;odporny na klêski ¿ywio³owe;
zmywarka;7;n;1;dishwasher;;
przeci¹g;7;n;3;draught;;
